stationid,date,year,month,day,variable,value,station_name,latitude
USH00412797,1909-09-30,1909,sep,30,tavg,23.84,EL PASO AP,31.8111
USH00412797,1909-10-31,1909,oct,31,tavg,19.06,EL PASO AP,31.8111
USH00412797,1909-11-30,1909,nov,30,tavg,14.5,EL PASO AP,31.8111
USH00412797,1909-12-31,1909,dec,31,tavg,5.75,EL PASO AP,31.8111
USH00412797,1910-01-31,1910,jan,31,tavg,9.23,EL PASO AP,31.8111
USH00412797,1910-02-28,1910,feb,28,tavg,9.89,EL PASO AP,31.8111
USH00412797,1910-03-31,1910,mar,31,tavg,17.17,EL PASO AP,31.8111
USH00412797,1910-04-30,1910,apr,30,tavg,18.67,EL PASO AP,31.8111
USH00412797,1910-05-31,1910,may,31,tavg,24.28,EL PASO AP,31.8111
USH00412797,1910-06-30,1910,jun,30,tavg,28.14,EL PASO AP,31.8111
USH00412797,1910-07-31,1910,jul,31,tavg,29.53,EL PASO AP,31.8111
USH00412797,1910-08-31,1910,aug,31,tavg,28.98,EL PASO AP,31.8111
USH00412797,1910-09-30,1910,sep,30,tavg,26.42,EL PASO AP,31.8111
USH00412797,1910-10-31,1910,oct,31,tavg,18.59,EL PASO AP,31.8111
USH00412797,1910-11-30,1910,nov,30,tavg,13.84,EL PASO AP,31.8111
USH00412797,1910-12-31,1910,dec,31,tavg,9.09,EL PASO AP,31.8111
USH00412797,1911-01-31,1911,jan,31,tavg,10.84,EL PASO AP,31.8111
USH00412797,1911-02-28,1911,feb,28,tavg,9.81,EL PASO AP,31.8111
USH00412797,1911-03-31,1911,mar,31,tavg,16.5,EL PASO AP,31.8111
USH00412797,1911-04-30,1911,apr,30,tavg,18.17,EL PASO AP,31.8111
USH00412797,1911-05-31,1911,may,31,tavg,23.89,EL PASO AP,31.8111
USH00412797,1911-06-30,1911,jun,30,tavg,27.56,EL PASO AP,31.8111
USH00412797,1911-07-31,1911,jul,31,tavg,26.34,EL PASO AP,31.8111
USH00412797,1911-08-31,1911,aug,31,tavg,28.7,EL PASO AP,31.8111
USH00412797,1911-09-30,1911,sep,30,tavg,26.36,EL PASO AP,31.8111
USH00412797,1911-10-31,1911,oct,31,tavg,18.47,EL PASO AP,31.8111
USH00412797,1911-11-30,1911,nov,30,tavg,10.39,EL PASO AP,31.8111
USH00412797,1911-12-31,1911,dec,31,tavg,5.23,EL PASO AP,31.8111
USH00412797,1912-01-31,1912,jan,31,tavg,8.7,EL PASO AP,31.8111
USH00412797,1912-02-29,1912,feb,29,tavg,9.09,EL PASO AP,31.8111
USH00412797,1912-03-31,1912,mar,31,tavg,13.34,EL PASO AP,31.8111
USH00412797,1912-04-30,1912,apr,30,tavg,16.15,EL PASO AP,31.8111
USH00412797,1912-05-31,1912,may,31,tavg,23.03,EL PASO AP,31.8111
USH00412797,1912-06-30,1912,jun,30,tavg,26.53,EL PASO AP,31.8111
USH00412797,1912-07-31,1912,jul,31,tavg,28.34,EL PASO AP,31.8111
USH00412797,1912-08-31,1912,aug,31,tavg,26.56,EL PASO AP,31.8111
USH00412797,1912-09-30,1912,sep,30,tavg,22.78,EL PASO AP,31.8111
USH00412797,1912-10-31,1912,oct,31,tavg,17.87,EL PASO AP,31.8111
USH00412797,1912-11-30,1912,nov,30,tavg,10.7,EL PASO AP,31.8111
USH00412797,1912-12-31,1912,dec,31,tavg,5.56,EL PASO AP,31.8111
USH00412797,1913-01-31,1913,jan,31,tavg,5.7,EL PASO AP,31.8111
USH00412797,1913-02-28,1913,feb,28,tavg,8.7,EL PASO AP,31.8111
USH00412797,1913-03-31,1913,mar,31,tavg,12.2,EL PASO AP,31.8111
USH00412797,1913-04-30,1913,apr,30,tavg,17.01,EL PASO AP,31.8111
USH00412797,1913-05-31,1913,may,31,tavg,23.23,EL PASO AP,31.8111
USH00412797,1913-06-30,1913,jun,30,tavg,26.0,EL PASO AP,31.8111
USH00412797,1913-07-31,1913,jul,31,tavg,28.59,EL PASO AP,31.8111
USH00412797,1913-08-31,1913,aug,31,tavg,26.95,EL PASO AP,31.8111
USH00412797,1913-09-30,1913,sep,30,tavg,21.78,EL PASO AP,31.8111
USH00412797,1913-10-31,1913,oct,31,tavg,18.64,EL PASO AP,31.8111
USH00412797,1913-11-30,1913,nov,30,tavg,13.78,EL PASO AP,31.8111
USH00412797,1913-12-31,1913,dec,31,tavg,6.53,EL PASO AP,31.8111
USH00412797,1914-01-31,1914,jan,31,tavg,10.2,EL PASO AP,31.8111
USH00412797,1914-02-28,1914,feb,28,tavg,10.56,EL PASO AP,31.8111
USH00412797,1914-03-31,1914,mar,31,tavg,12.81,EL PASO AP,31.8111
USH00412797,1914-04-30,1914,apr,30,tavg,18.89,EL PASO AP,31.8111
USH00412797,1914-05-31,1914,may,31,tavg,22.89,EL PASO AP,31.8111
USH00412797,1914-06-30,1914,jun,30,tavg,27.14,EL PASO AP,31.8111
USH00412797,1914-07-31,1914,jul,31,tavg,26.67,EL PASO AP,31.8111
USH00412797,1914-08-31,1914,aug,31,tavg,26.92,EL PASO AP,31.8111
USH00412797,1914-09-30,1914,sep,30,tavg,24.59,EL PASO AP,31.8111
USH00412797,1914-10-31,1914,oct,31,tavg,18.59,EL PASO AP,31.8111
USH00412797,1914-11-30,1914,nov,30,tavg,13.7,EL PASO AP,31.8111
USH00412797,1914-12-31,1914,dec,31,tavg,7.11,EL PASO AP,31.8111
USH00412797,1915-01-31,1915,jan,31,tavg,6.2,EL PASO AP,31.8111
USH00412797,1915-02-28,1915,feb,28,tavg,9.87,EL PASO AP,31.8111
USH00412797,1915-03-31,1915,mar,31,tavg,10.7,EL PASO AP,31.8111
USH00412797,1915-04-30,1915,apr,30,tavg,18.14,EL PASO AP,31.8111
USH00412797,1915-05-31,1915,may,31,tavg,21.98,EL PASO AP,31.8111
USH00412797,1915-06-30,1915,jun,30,tavg,28.67,EL PASO AP,31.8111
USH00412797,1915-07-31,1915,jul,31,tavg,28.37,EL PASO AP,31.8111
